,col1
0,https://www.whoscored.com/Matches/1394426/Live/Spain-LaLiga-2019-2020-Levante-Athletic-Bilbao
1,https://www.whoscored.com/Matches/1394409/Live/Spain-LaLiga-2019-2020-Real-Valladolid-Levante
2,https://www.whoscored.com/Matches/1394423/Live/Spain-LaLiga-2019-2020-Leganes-Valencia
3,https://www.whoscored.com/Matches/1394437/Live/Spain-LaLiga-2019-2020-Real-Valladolid-Real-Betis
4,https://www.whoscored.com/Matches/1394422/Live/Spain-LaLiga-2019-2020-Leganes-Real-Madrid
5,https://www.whoscored.com/Matches/1394399/Live/Spain-LaLiga-2019-2020-Mallorca-Levante
6,https://www.whoscored.com/Matches/1394433/Live/Spain-LaLiga-2019-2020-Sevilla-Eibar
7,https://www.whoscored.com/Matches/1394443/Live/Spain-LaLiga-2019-2020-Barcelona-Espanyol
8,https://www.whoscored.com/Matches/1394417/Live/Spain-LaLiga-2019-2020-Espanyol-Eibar
9,https://www.whoscored.com/Matches/1394395/Live/Spain-LaLiga-2019-2020-Getafe-Atletico-Madrid
10,https://www.whoscored.com/Matches/1394424/Live/Spain-LaLiga-2019-2020-Granada-Valencia
11,https://www.whoscored.com/Matches/1394432/Live/Spain-LaLiga-2019-2020-Sevilla-Mallorca
12,https://www.whoscored.com/Matches/1394403/Live/Spain-LaLiga-2019-2020-Real-Sociedad-Espanyol
13,https://www.whoscored.com/Matches/1394393/Live/Spain-LaLiga-2019-2020-Eibar-Leganes
14,https://www.whoscored.com/Matches/1394402/Live/Spain-LaLiga-2019-2020-Real-Madrid-Deportivo-Alaves
15,https://www.whoscored.com/Matches/1394414/Live/Spain-LaLiga-2019-2020-Atletico-Madrid-Real-Betis
16,https://www.whoscored.com/Matches/1394410/Live/Spain-LaLiga-2019-2020-Deportivo-Alaves-Barcelona
17,https://www.whoscored.com/Matches/1394412/Live/Spain-LaLiga-2019-2020-Athletic-Bilbao-Real-Madrid
18,https://www.whoscored.com/Matches/1394440/Live/Spain-LaLiga-2019-2020-Athletic-Bilbao-Leganes
19,https://www.whoscored.com/Matches/1394484/Live/Spain-LaLiga-2019-2020-Real-Betis-Villarreal
20,https://www.whoscored.com/Matches/1394431/Live/Spain-LaLiga-2019-2020-Sevilla-Valencia
21,https://www.whoscored.com/Matches/1394398/Live/Spain-LaLiga-2019-2020-Mallorca-Granada
22,https://www.whoscored.com/Matches/1394420/Live/Spain-LaLiga-2019-2020-Granada-Real-Madrid
23,https://www.whoscored.com/Matches/1394430/Live/Spain-LaLiga-2019-2020-Osasuna-Getafe
24,https://www.whoscored.com/Matches/1394436/Live/Spain-LaLiga-2019-2020-Villarreal-Barcelona
25,https://www.whoscored.com/Matches/1394427/Live/Spain-LaLiga-2019-2020-Levante-Real-Sociedad
26,https://www.whoscored.com/Matches/1394408/Live/Spain-LaLiga-2019-2020-Valencia-Real-Valladolid
27,https://www.whoscored.com/Matches/1394416/Live/Spain-LaLiga-2019-2020-Espanyol-Celta-Vigo
28,https://www.whoscored.com/Matches/1394447/Live/Spain-LaLiga-2019-2020-Celta-Vigo-Atletico-Madrid
29,https://www.whoscored.com/Matches/1394405/Live/Spain-LaLiga-2019-2020-Real-Sociedad-Granada
30,https://www.whoscored.com/Matches/1394404/Live/Spain-LaLiga-2019-2020-Real-Sociedad-Sevilla
31,https://www.whoscored.com/Matches/1394434/Live/Spain-LaLiga-2019-2020-Villarreal-Eibar
32,https://www.whoscored.com/Matches/1394425/Live/Spain-LaLiga-2019-2020-Levante-Getafe
33,https://www.whoscored.com/Matches/1394442/Live/Spain-LaLiga-2019-2020-Barcelona-Osasuna
34,https://www.whoscored.com/Matches/1394396/Live/Spain-LaLiga-2019-2020-Getafe-Villarreal
35,https://www.whoscored.com/Matches/1394439/Live/Spain-LaLiga-2019-2020-Real-Valladolid-Deportivo-Alaves
36,https://www.whoscored.com/Matches/1394441/Live/Spain-LaLiga-2019-2020-Athletic-Bilbao-Sevilla
37,https://www.whoscored.com/Matches/1394400/Live/Spain-LaLiga-2019-2020-Real-Madrid-Getafe
38,https://www.whoscored.com/Matches/1394407/Live/Spain-LaLiga-2019-2020-Valencia-Espanyol
39,https://www.whoscored.com/Matches/1394446/Live/Spain-LaLiga-2019-2020-Celta-Vigo-Levante
40,https://www.whoscored.com/Matches/1394438/Live/Spain-LaLiga-2019-2020-Real-Valladolid-Barcelona
41,https://www.whoscored.com/Matches/1394480/Live/Spain-LaLiga-2019-2020-Deportivo-Alaves-Granada
42,https://www.whoscored.com/Matches/1394415/Live/Spain-LaLiga-2019-2020-Atletico-Madrid-Mallorca
43,https://www.whoscored.com/Matches/1394445/Live/Spain-LaLiga-2019-2020-Real-Betis-Osasuna
44,https://www.whoscored.com/Matches/1394428/Live/Spain-LaLiga-2019-2020-Osasuna-Mallorca
45,https://www.whoscored.com/Matches/1394413/Live/Spain-LaLiga-2019-2020-Atletico-Madrid-Real-Sociedad
46,https://www.whoscored.com/Matches/1394444/Live/Spain-LaLiga-2019-2020-Real-Betis-Deportivo-Alaves
47,https://www.whoscored.com/Matches/1394435/Live/Spain-LaLiga-2019-2020-Villarreal-Real-Sociedad
48,https://www.whoscored.com/Matches/1394421/Live/Spain-LaLiga-2019-2020-Espanyol-Leganes
49,https://www.whoscored.com/Matches/1394419/Live/Spain-LaLiga-2019-2020-Granada-Athletic-Bilbao
50,https://www.whoscored.com/Matches/1394401/Live/Spain-LaLiga-2019-2020-Real-Madrid-Villarreal
51,https://www.whoscored.com/Matches/1394406/Live/Spain-LaLiga-2019-2020-Valencia-Athletic-Bilbao
52,https://www.whoscored.com/Matches/1394418/Live/Spain-LaLiga-2019-2020-Celta-Vigo-Real-Betis
53,https://www.whoscored.com/Matches/1394486/Live/Spain-LaLiga-2019-2020-Eibar-Osasuna
54,https://www.whoscored.com/Matches/1394392/Live/Spain-LaLiga-2019-2020-Eibar-Real-Valladolid
55,https://www.whoscored.com/Matches/1394411/Live/Spain-LaLiga-2019-2020-Deportivo-Alaves-Getafe
56,https://www.whoscored.com/Matches/1394429/Live/Spain-LaLiga-2019-2020-Osasuna-Celta-Vigo
57,https://www.whoscored.com/Matches/1394368/Live/Spain-LaLiga-2019-2020-Sevilla-Real-Betis
58,https://www.whoscored.com/Matches/1394353/Live/Spain-LaLiga-2019-2020-Granada-Getafe
59,https://www.whoscored.com/Matches/1394371/Live/Spain-LaLiga-2019-2020-Valencia-Levante
60,https://www.whoscored.com/Matches/1394350/Live/Spain-LaLiga-2019-2020-Espanyol-Deportivo-Alaves
61,https://www.whoscored.com/Matches/1394347/Live/Spain-LaLiga-2019-2020-Celta-Vigo-Villarreal
62,https://www.whoscored.com/Matches/1394356/Live/Spain-LaLiga-2019-2020-Leganes-Real-Valladolid
63,https://www.whoscored.com/Matches/1394359/Live/Spain-LaLiga-2019-2020-Mallorca-Barcelona
64,https://www.whoscored.com/Matches/1394344/Live/Spain-LaLiga-2019-2020-Athletic-Bilbao-Atletico-Madrid
65,https://www.whoscored.com/Matches/1394362/Live/Spain-LaLiga-2019-2020-Real-Madrid-Eibar
66,https://www.whoscored.com/Matches/1394365/Live/Spain-LaLiga-2019-2020-Real-Sociedad-Osasuna
67,https://www.whoscored.com/Matches/1394386/Live/Spain-LaLiga-2019-2020-Levante-Sevilla
68,https://www.whoscored.com/Matches/1394380/Live/Spain-LaLiga-2019-2020-Real-Betis-Granada
69,https://www.whoscored.com/Matches/1394391/Live/Spain-LaLiga-2019-2020-Villarreal-Mallorca
70,https://www.whoscored.com/Matches/1394384/Live/Spain-LaLiga-2019-2020-Getafe-Espanyol
71,https://www.whoscored.com/Matches/1394377/Live/Spain-LaLiga-2019-2020-Barcelona-Leganes
72,https://www.whoscored.com/Matches/1394382/Live/Spain-LaLiga-2019-2020-Eibar-Athletic-Bilbao
73,https://www.whoscored.com/Matches/1394337/Live/Spain-LaLiga-2019-2020-Real-Valladolid-Celta-Vigo
74,https://www.whoscored.com/Matches/1394388/Live/Spain-LaLiga-2019-2020-Osasuna-Atletico-Madrid
75,https://www.whoscored.com/Matches/1394374/Live/Spain-LaLiga-2019-2020-Deportivo-Alaves-Real-Sociedad
76,https://www.whoscored.com/Matches/1394390/Live/Spain-LaLiga-2019-2020-Real-Madrid-Valencia
77,https://www.whoscored.com/Matches/1394358/Live/Spain-LaLiga-2019-2020-Mallorca-Leganes
78,https://www.whoscored.com/Matches/1394355/Live/Spain-LaLiga-2019-2020-Granada-Villarreal
79,https://www.whoscored.com/Matches/1394364/Live/Spain-LaLiga-2019-2020-Sevilla-Barcelona
80,https://www.whoscored.com/Matches/1394349/Live/Spain-LaLiga-2019-2020-Espanyol-Levante
81,https://www.whoscored.com/Matches/1394340/Live/Spain-LaLiga-2019-2020-Athletic-Bilbao-Real-Betis
82,https://www.whoscored.com/Matches/1394352/Live/Spain-LaLiga-2019-2020-Getafe-Eibar
83,https://www.whoscored.com/Matches/1394343/Live/Spain-LaLiga-2019-2020-Atletico-Madrid-Real-Valladolid
84,https://www.whoscored.com/Matches/1394346/Live/Spain-LaLiga-2019-2020-Celta-Vigo-Deportivo-Alaves
85,https://www.whoscored.com/Matches/1394367/Live/Spain-LaLiga-2019-2020-Valencia-Osasuna
86,https://www.whoscored.com/Matches/1394361/Live/Spain-LaLiga-2019-2020-Real-Sociedad-Real-Madrid
87,https://www.whoscored.com/Matches/1394456/Live/Spain-LaLiga-2019-2020-Villarreal-Sevilla
88,https://www.whoscored.com/Matches/1394448/Live/Spain-LaLiga-2019-2020-Leganes-Granada
89,https://www.whoscored.com/Matches/1394450/Live/Spain-LaLiga-2019-2020-Levante-Atletico-Madrid
90,https://www.whoscored.com/Matches/1394458/Live/Spain-LaLiga-2019-2020-Real-Valladolid-Getafe
91,https://www.whoscored.com/Matches/1394373/Live/Spain-LaLiga-2019-2020-Barcelona-Athletic-Bilbao
92,https://www.whoscored.com/Matches/1394370/Live/Spain-LaLiga-2019-2020-Deportivo-Alaves-Osasuna
93,https://www.whoscored.com/Matches/1394454/Live/Spain-LaLiga-2019-2020-Real-Sociedad-Celta-Vigo
94,https://www.whoscored.com/Matches/1394452/Live/Spain-LaLiga-2019-2020-Real-Madrid-Mallorca
95,https://www.whoscored.com/Matches/1394379/Live/Spain-LaLiga-2019-2020-Eibar-Valencia
96,https://www.whoscored.com/Matches/1394376/Live/Spain-LaLiga-2019-2020-Real-Betis-Espanyol
97,https://www.whoscored.com/Matches/1394476/Live/Spain-LaLiga-2019-2020-Sevilla-Real-Valladolid
98,https://www.whoscored.com/Matches/1394460/Live/Spain-LaLiga-2019-2020-Athletic-Bilbao-Mallorca
99,https://www.whoscored.com/Matches/1394464/Live/Spain-LaLiga-2019-2020-Celta-Vigo-Barcelona
100,https://www.whoscored.com/Matches/1394474/Live/Spain-LaLiga-2019-2020-Osasuna-Leganes
101,https://www.whoscored.com/Matches/1394462/Live/Spain-LaLiga-2019-2020-Atletico-Madrid-Deportivo-Alaves
102,https://www.whoscored.com/Matches/1394472/Live/Spain-LaLiga-2019-2020-Levante-Real-Betis
103,https://www.whoscored.com/Matches/1394478/Live/Spain-LaLiga-2019-2020-Villarreal-Valencia
104,https://www.whoscored.com/Matches/1394470/Live/Spain-LaLiga-2019-2020-Granada-Eibar
105,https://www.whoscored.com/Matches/1394466/Live/Spain-LaLiga-2019-2020-Espanyol-Real-Madrid
106,https://www.whoscored.com/Matches/1394468/Live/Spain-LaLiga-2019-2020-Getafe-Real-Sociedad
107,https://www.whoscored.com/Matches/1394397/Live/Spain-LaLiga-2019-2020-Mallorca-Celta-Vigo
108,https://www.whoscored.com/Matches/1394394/Live/Spain-LaLiga-2019-2020-Leganes-Sevilla
109,https://www.whoscored.com/Matches/1394482/Live/Spain-LaLiga-2019-2020-Barcelona-Atletico-Madrid
110,https://www.whoscored.com/Matches/1394366/Live/Spain-LaLiga-2019-2020-Sevilla-Osasuna
111,https://www.whoscored.com/Matches/1394342/Live/Spain-LaLiga-2019-2020-Athletic-Bilbao-Villarreal
112,https://www.whoscored.com/Matches/1394348/Live/Spain-LaLiga-2019-2020-Espanyol-Atletico-Madrid
113,https://www.whoscored.com/Matches/1394357/Live/Spain-LaLiga-2019-2020-Mallorca-Getafe
114,https://www.whoscored.com/Matches/1394360/Live/Spain-LaLiga-2019-2020-Real-Madrid-Barcelona
115,https://www.whoscored.com/Matches/1394372/Live/Spain-LaLiga-2019-2020-Deportivo-Alaves-Valencia
116,https://www.whoscored.com/Matches/1394383/Live/Spain-LaLiga-2019-2020-Eibar-Mallorca
117,https://www.whoscored.com/Matches/1394375/Live/Spain-LaLiga-2019-2020-Atletico-Madrid-Sevilla
118,https://www.whoscored.com/Matches/1394378/Live/Spain-LaLiga-2019-2020-Barcelona-Real-Sociedad
119,https://www.whoscored.com/Matches/1394385/Live/Spain-LaLiga-2019-2020-Getafe-Celta-Vigo
120,https://www.whoscored.com/Matches/1394389/Live/Spain-LaLiga-2019-2020-Osasuna-Espanyol
121,https://www.whoscored.com/Matches/1394341/Live/Spain-LaLiga-2019-2020-Real-Valladolid-Athletic-Bilbao
122,https://www.whoscored.com/Matches/1394387/Live/Spain-LaLiga-2019-2020-Levante-Granada
123,https://www.whoscored.com/Matches/1394338/Live/Spain-LaLiga-2019-2020-Villarreal-Leganes
124,https://www.whoscored.com/Matches/1394381/Live/Spain-LaLiga-2019-2020-Real-Betis-Real-Madrid
125,https://www.whoscored.com/Matches/1394453/Live/Spain-LaLiga-2019-2020-Eibar-Real-Sociedad
126,https://www.whoscored.com/Matches/1394489/Live/Spain-LaLiga-2019-2020-Granada-Espanyol
127,https://www.whoscored.com/Matches/1394493/Live/Spain-LaLiga-2019-2020-Real-Madrid-Atletico-Madrid
128,https://www.whoscored.com/Matches/1394491/Live/Spain-LaLiga-2019-2020-Mallorca-Real-Valladolid
129,https://www.whoscored.com/Matches/1394497/Live/Spain-LaLiga-2019-2020-Valencia-Celta-Vigo
130,https://www.whoscored.com/Matches/1394490/Live/Spain-LaLiga-2019-2020-Leganes-Real-Sociedad
131,https://www.whoscored.com/Matches/1394488/Live/Spain-LaLiga-2019-2020-Eibar-Real-Betis
132,https://www.whoscored.com/Matches/1394508/Live/Spain-LaLiga-2019-2020-Athletic-Bilbao-Getafe
133,https://www.whoscored.com/Matches/1394495/Live/Spain-LaLiga-2019-2020-Sevilla-Deportivo-Alaves
134,https://www.whoscored.com/Matches/1394499/Live/Spain-LaLiga-2019-2020-Villarreal-Osasuna
135,https://www.whoscored.com/Matches/1394487/Live/Spain-LaLiga-2019-2020-Barcelona-Levante
136,https://www.whoscored.com/Matches/1394501/Live/Spain-LaLiga-2019-2020-Deportivo-Alaves-Eibar
137,https://www.whoscored.com/Matches/1394511/Live/Spain-LaLiga-2019-2020-Levante-Leganes
138,https://www.whoscored.com/Matches/1394510/Live/Spain-LaLiga-2019-2020-Getafe-Valencia
139,https://www.whoscored.com/Matches/1394514/Live/Spain-LaLiga-2019-2020-Real-Valladolid-Villarreal
140,https://www.whoscored.com/Matches/1394503/Live/Spain-LaLiga-2019-2020-Atletico-Madrid-Granada
141,https://www.whoscored.com/Matches/1394509/Live/Spain-LaLiga-2019-2020-Espanyol-Mallorca
142,https://www.whoscored.com/Matches/1394513/Live/Spain-LaLiga-2019-2020-Real-Sociedad-Athletic-Bilbao
143,https://www.whoscored.com/Matches/1394512/Live/Spain-LaLiga-2019-2020-Osasuna-Real-Madrid
144,https://www.whoscored.com/Matches/1394507/Live/Spain-LaLiga-2019-2020-Celta-Vigo-Sevilla
145,https://www.whoscored.com/Matches/1394505/Live/Spain-LaLiga-2019-2020-Real-Betis-Barcelona
146,https://www.whoscored.com/Matches/1394465/Live/Spain-LaLiga-2019-2020-Valencia-Atletico-Madrid
147,https://www.whoscored.com/Matches/1394459/Live/Spain-LaLiga-2019-2020-Mallorca-Deportivo-Alaves
148,https://www.whoscored.com/Matches/1394451/Live/Spain-LaLiga-2019-2020-Barcelona-Getafe
149,https://www.whoscored.com/Matches/1394467/Live/Spain-LaLiga-2019-2020-Villarreal-Levante
150,https://www.whoscored.com/Matches/1394455/Live/Spain-LaLiga-2019-2020-Granada-Real-Valladolid
151,https://www.whoscored.com/Matches/1394463/Live/Spain-LaLiga-2019-2020-Sevilla-Espanyol
152,https://www.whoscored.com/Matches/1394457/Live/Spain-LaLiga-2019-2020-Leganes-Real-Betis
153,https://www.whoscored.com/Matches/1394449/Live/Spain-LaLiga-2019-2020-Athletic-Bilbao-Osasuna
154,https://www.whoscored.com/Matches/1394461/Live/Spain-LaLiga-2019-2020-Real-Madrid-Celta-Vigo
155,https://www.whoscored.com/Matches/1394475/Live/Spain-LaLiga-2019-2020-Real-Betis-Mallorca
156,https://www.whoscored.com/Matches/1394477/Live/Spain-LaLiga-2019-2020-Celta-Vigo-Leganes
157,https://www.whoscored.com/Matches/1394473/Live/Spain-LaLiga-2019-2020-Barcelona-Eibar
158,https://www.whoscored.com/Matches/1394485/Live/Spain-LaLiga-2019-2020-Real-Sociedad-Valencia
159,https://www.whoscored.com/Matches/1394481/Live/Spain-LaLiga-2019-2020-Levante-Real-Madrid
160,https://www.whoscored.com/Matches/1394483/Live/Spain-LaLiga-2019-2020-Osasuna-Granada
161,https://www.whoscored.com/Matches/1394469/Live/Spain-LaLiga-2019-2020-Deportivo-Alaves-Athletic-Bilbao
162,https://www.whoscored.com/Matches/1394339/Live/Spain-LaLiga-2019-2020-Real-Valladolid-Espanyol
163,https://www.whoscored.com/Matches/1394479/Live/Spain-LaLiga-2019-2020-Getafe-Sevilla
164,https://www.whoscored.com/Matches/1394471/Live/Spain-LaLiga-2019-2020-Atletico-Madrid-Villarreal
165,https://www.whoscored.com/Matches/1394363/Live/Spain-LaLiga-2019-2020-Real-Sociedad-Real-Valladolid
166,https://www.whoscored.com/Matches/1394345/Live/Spain-LaLiga-2019-2020-Eibar-Levante
167,https://www.whoscored.com/Matches/1394369/Live/Spain-LaLiga-2019-2020-Valencia-Real-Betis
168,https://www.whoscored.com/Matches/1394354/Live/Spain-LaLiga-2019-2020-Leganes-Deportivo-Alaves
169,https://www.whoscored.com/Matches/1394351/Live/Spain-LaLiga-2019-2020-Granada-Celta-Vigo
170,https://www.whoscored.com/Matches/1394290/Live/Spain-LaLiga-2019-2020-Real-Valladolid-Leganes
171,https://www.whoscored.com/Matches/1394284/Live/Spain-LaLiga-2019-2020-Sevilla-Athletic-Bilbao
172,https://www.whoscored.com/Matches/1394287/Live/Spain-LaLiga-2019-2020-Valencia-Eibar
173,https://www.whoscored.com/Matches/1394275/Live/Spain-LaLiga-2019-2020-Getafe-Real-Madrid
174,https://www.whoscored.com/Matches/1394266/Live/Spain-LaLiga-2019-2020-Atletico-Madrid-Levante
175,https://www.whoscored.com/Matches/1394272/Live/Spain-LaLiga-2019-2020-Espanyol-Barcelona
176,https://www.whoscored.com/Matches/1394278/Live/Spain-LaLiga-2019-2020-Granada-Mallorca
177,https://www.whoscored.com/Matches/1394281/Live/Spain-LaLiga-2019-2020-Real-Sociedad-Villarreal
178,https://www.whoscored.com/Matches/1394263/Live/Spain-LaLiga-2019-2020-Deportivo-Alaves-Real-Betis
179,https://www.whoscored.com/Matches/1394269/Live/Spain-LaLiga-2019-2020-Celta-Vigo-Osasuna
180,https://www.whoscored.com/Matches/1394305/Live/Spain-LaLiga-2019-2020-Leganes-Getafe
181,https://www.whoscored.com/Matches/1394308/Live/Spain-LaLiga-2019-2020-Levante-Deportivo-Alaves
182,https://www.whoscored.com/Matches/1394317/Live/Spain-LaLiga-2019-2020-Real-Madrid-Sevilla
183,https://www.whoscored.com/Matches/1394314/Live/Spain-LaLiga-2019-2020-Osasuna-Real-Valladolid
184,https://www.whoscored.com/Matches/1394302/Live/Spain-LaLiga-2019-2020-Eibar-Atletico-Madrid
185,https://www.whoscored.com/Matches/1394311/Live/Spain-LaLiga-2019-2020-Mallorca-Valencia
186,https://www.whoscored.com/Matches/1394299/Live/Spain-LaLiga-2019-2020-Real-Betis-Real-Sociedad
187,https://www.whoscored.com/Matches/1394320/Live/Spain-LaLiga-2019-2020-Villarreal-Espanyol
188,https://www.whoscored.com/Matches/1394293/Live/Spain-LaLiga-2019-2020-Athletic-Bilbao-Celta-Vigo
189,https://www.whoscored.com/Matches/1394296/Live/Spain-LaLiga-2019-2020-Barcelona-Granada
